image size: (210, 160, 3)
action size: 3
/home/matthew_daangn_com/anaconda3/lib/python3.6/site-packages/skimage/transform/_warps.py:84: UserWarning: The default mode, 'constant', will be changed to 'reflect' in skimage 0.15.
  warn("The default mode, 'constant', will be changed to 'reflect' in "
global steps 52800 | score: 5.0 | entropy: 0.3566 | grad norm: 1.779 
global steps 52800 | score: 5.0 | entropy: 0.3558 | grad norm: 1.779 
global steps 52800 | score: 4.0 | entropy: 0.3563 | grad norm: 1.779 
global steps 52800 | score: 4.0 | entropy: 0.3558 | grad norm: 1.779 
global steps 52800 | score: 7.0 | entropy: 0.3563 | grad norm: 1.779 
global steps 52800 | score: 7.0 | entropy: 0.3572 | grad norm: 1.779 
global steps 52800 | score: 5.0 | entropy: 0.3574 | grad norm: 1.779 
global steps 52800 | score: 6.0 | entropy: 0.3564 | grad norm: 1.779 
global steps 57600 | score: 5.0 | entropy: 0.3535 | grad norm: 1.340 
global steps 57600 | score: 6.0 | entropy: 0.3533 | grad norm: 1.340 
global steps 57600 | score: 7.0 | entropy: 0.3546 | grad norm: 1.340 
global steps 57600 | score: 6.0 | entropy: 0.3535 | grad norm: 1.340 
global steps 57600 | score: 8.0 | entropy: 0.3538 | grad norm: 1.340 
global steps 57600 | score: 7.0 | entropy: 0.3544 | grad norm: 1.340 
global steps 57600 | score: 8.0 | entropy: 0.3536 | grad norm: 1.340 
global steps 62400 | score: 8.0 | entropy: 0.3539 | grad norm: 1.246 
global steps 62400 | score: 10.0 | entropy: 0.3523 | grad norm: 1.246 
global steps 62400 | score: 9.0 | entropy: 0.3522 | grad norm: 1.246 
global steps 62400 | score: 12.0 | entropy: 0.3512 | grad norm: 1.246 
global steps 62400 | score: 12.0 | entropy: 0.3523 | grad norm: 1.246 
global steps 62400 | score: 9.0 | entropy: 0.3510 | grad norm: 1.246 
global steps 62400 | score: 10.0 | entropy: 0.3519 | grad norm: 1.246 
global steps 62400 | score: 8.0 | entropy: 0.3511 | grad norm: 1.246 
global steps 67200 | score: 12.0 | entropy: 0.3484 | grad norm: 1.141 
global steps 67200 | score: 8.0 | entropy: 0.3492 | grad norm: 1.141 
global steps 67200 | score: 7.0 | entropy: 0.3484 | grad norm: 1.141 
global steps 67200 | score: 12.0 | entropy: 0.3495 | grad norm: 1.141 
global steps 67200 | score: 7.0 | entropy: 0.3483 | grad norm: 1.141 
global steps 67200 | score: 8.0 | entropy: 0.3496 | grad norm: 1.141 
global steps 72000 | score: 7.0 | entropy: 0.3441 | grad norm: 1.242 
global steps 72000 | score: 8.0 | entropy: 0.3442 | grad norm: 1.242 
global steps 72000 | score: 10.0 | entropy: 0.3442 | grad norm: 1.242 
global steps 72000 | score: 6.0 | entropy: 0.3447 | grad norm: 1.242 
global steps 72000 | score: 9.0 | entropy: 0.3450 | grad norm: 1.242 
global steps 72000 | score: 6.0 | entropy: 0.3459 | grad norm: 1.242 
global steps 72000 | score: 10.0 | entropy: 0.3447 | grad norm: 1.242 
global steps 72000 | score: 8.0 | entropy: 0.3441 | grad norm: 1.242 
global steps 72000 | score: 8.0 | entropy: 0.3441 | grad norm: 1.242 
global steps 72000 | score: 10.0 | entropy: 0.3442 | grad norm: 1.242 
global steps 76800 | score: 7.0 | entropy: 0.3452 | grad norm: 0.642 
global steps 76800 | score: 9.0 | entropy: 0.3434 | grad norm: 0.642 
global steps 76800 | score: 6.0 | entropy: 0.3434 | grad norm: 0.642 
global steps 76800 | score: 9.0 | entropy: 0.3452 | grad norm: 0.642 
global steps 81600 | score: 7.0 | entropy: 0.3453 | grad norm: 0.622 
global steps 81600 | score: 12.0 | entropy: 0.3409 | grad norm: 0.622 
global steps 81600 | score: 7.0 | entropy: 0.3407 | grad norm: 0.622 
global steps 81600 | score: 7.0 | entropy: 0.3408 | grad norm: 0.622 
global steps 81600 | score: 9.0 | entropy: 0.3424 | grad norm: 0.622 
global steps 81600 | score: 10.0 | entropy: 0.3429 | grad norm: 0.622 
global steps 81600 | score: 14.0 | entropy: 0.3427 | grad norm: 0.622 
global steps 86400 | score: 11.0 | entropy: 0.3407 | grad norm: 0.578 
global steps 86400 | score: 9.0 | entropy: 0.3429 | grad norm: 0.578 
global steps 86400 | score: 7.0 | entropy: 0.3412 | grad norm: 0.578 
global steps 86400 | score: 10.0 | entropy: 0.3426 | grad norm: 0.578 
global steps 86400 | score: 8.0 | entropy: 0.3428 | grad norm: 0.578 
global steps 86400 | score: 9.0 | entropy: 0.3409 | grad norm: 0.578 
global steps 86400 | score: 6.0 | entropy: 0.3409 | grad norm: 0.578 
global steps 91200 | score: 12.0 | entropy: 0.3395 | grad norm: 0.771 
global steps 91200 | score: 10.0 | entropy: 0.3417 | grad norm: 0.771 
global steps 91200 | score: 9.0 | entropy: 0.3417 | grad norm: 0.771 
global steps 91200 | score: 13.0 | entropy: 0.3394 | grad norm: 0.771 
global steps 91200 | score: 10.0 | entropy: 0.3396 | grad norm: 0.771 
global steps 91200 | score: 7.0 | entropy: 0.3394 | grad norm: 0.771 
global steps 91200 | score: 9.0 | entropy: 0.3418 | grad norm: 0.771 
global steps 96000 | score: 13.0 | entropy: 0.3393 | grad norm: 0.645 
