image size: (210, 160, 3)
action size: 3
global steps 57600 | score: 9.0 | entropy: 0.3534 | grad norm: 4.318 
global steps 57600 | score: 8.0 | entropy: 0.3528 | grad norm: 4.318 
global steps 57600 | score: 7.0 | entropy: 0.3528 | grad norm: 4.318 
global steps 57600 | score: 9.0 | entropy: 0.3528 | grad norm: 4.318 
global steps 64000 | score: 6.0 | entropy: 0.3518 | grad norm: 3.432 
global steps 64000 | score: 9.0 | entropy: 0.3511 | grad norm: 3.432 
global steps 64000 | score: 5.0 | entropy: 0.3520 | grad norm: 3.432 
global steps 64000 | score: 8.0 | entropy: 0.3516 | grad norm: 3.432 
global steps 64000 | score: 9.0 | entropy: 0.3524 | grad norm: 3.432 
global steps 64000 | score: 8.0 | entropy: 0.3533 | grad norm: 3.432 
global steps 64000 | score: 9.0 | entropy: 0.3513 | grad norm: 3.432 
global steps 64000 | score: 9.0 | entropy: 0.3533 | grad norm: 3.432 
global steps 64000 | score: 5.0 | entropy: 0.3527 | grad norm: 3.432 
global steps 64000 | score: 9.0 | entropy: 0.3526 | grad norm: 3.432 
global steps 64000 | score: 6.0 | entropy: 0.3524 | grad norm: 3.432 
global steps 70400 | score: 6.0 | entropy: 0.3492 | grad norm: 2.641 
global steps 70400 | score: 4.0 | entropy: 0.3493 | grad norm: 2.641 
global steps 70400 | score: 6.0 | entropy: 0.3493 | grad norm: 2.641 
global steps 70400 | score: 6.0 | entropy: 0.3494 | grad norm: 2.641 
global steps 70400 | score: 6.0 | entropy: 0.3519 | grad norm: 2.641 
global steps 70400 | score: 4.0 | entropy: 0.3494 | grad norm: 2.641 
global steps 70400 | score: 2.0 | entropy: 0.3498 | grad norm: 2.641 
global steps 70400 | score: 3.0 | entropy: 0.3498 | grad norm: 2.641 
global steps 70400 | score: 5.0 | entropy: 0.3510 | grad norm: 2.641 
global steps 70400 | score: 5.0 | entropy: 0.3501 | grad norm: 2.641 
global steps 76800 | score: 4.0 | entropy: 0.3467 | grad norm: 2.181 
global steps 76800 | score: 6.0 | entropy: 0.3464 | grad norm: 2.181 
global steps 76800 | score: 8.0 | entropy: 0.3457 | grad norm: 2.181 
global steps 76800 | score: 6.0 | entropy: 0.3462 | grad norm: 2.181 
global steps 76800 | score: 7.0 | entropy: 0.3477 | grad norm: 2.181 
global steps 76800 | score: 8.0 | entropy: 0.3454 | grad norm: 2.181 
global steps 76800 | score: 7.0 | entropy: 0.3471 | grad norm: 2.181 
global steps 76800 | score: 8.0 | entropy: 0.3456 | grad norm: 2.181 
global steps 76800 | score: 8.0 | entropy: 0.3453 | grad norm: 2.181 
global steps 83200 | score: 9.0 | entropy: 0.3423 | grad norm: 2.058 
global steps 83200 | score: 10.0 | entropy: 0.3419 | grad norm: 2.058 
global steps 83200 | score: 10.0 | entropy: 0.3434 | grad norm: 2.058 
global steps 83200 | score: 9.0 | entropy: 0.3416 | grad norm: 2.058 
global steps 83200 | score: 10.0 | entropy: 0.3428 | grad norm: 2.058 
global steps 83200 | score: 11.0 | entropy: 0.3416 | grad norm: 2.058 
global steps 83200 | score: 11.0 | entropy: 0.3417 | grad norm: 2.058 
global steps 83200 | score: 8.0 | entropy: 0.3422 | grad norm: 2.058 
global steps 83200 | score: 7.0 | entropy: 0.3433 | grad norm: 2.058 
global steps 89600 | score: 7.0 | entropy: 0.3386 | grad norm: 1.466 
global steps 89600 | score: 8.0 | entropy: 0.3403 | grad norm: 1.466 
global steps 89600 | score: 8.0 | entropy: 0.3398 | grad norm: 1.466 
global steps 89600 | score: 8.0 | entropy: 0.3410 | grad norm: 1.466 
global steps 89600 | score: 9.0 | entropy: 0.3439 | grad norm: 1.466 
global steps 89600 | score: 7.0 | entropy: 0.3394 | grad norm: 1.466 
global steps 89600 | score: 5.0 | entropy: 0.3393 | grad norm: 1.466 
global steps 89600 | score: 6.0 | entropy: 0.3418 | grad norm: 1.466 
global steps 89600 | score: 7.0 | entropy: 0.3408 | grad norm: 1.466 
global steps 89600 | score: 9.0 | entropy: 0.3394 | grad norm: 1.466 
global steps 89600 | score: 9.0 | entropy: 0.3420 | grad norm: 1.466 
global steps 96000 | score: 7.0 | entropy: 0.3362 | grad norm: 1.235 
global steps 96000 | score: 7.0 | entropy: 0.3382 | grad norm: 1.235 
global steps 96000 | score: 9.0 | entropy: 0.3367 | grad norm: 1.235 
global steps 96000 | score: 7.0 | entropy: 0.3363 | grad norm: 1.235 
global steps 96000 | score: 7.0 | entropy: 0.3362 | grad norm: 1.235 
global steps 96000 | score: 9.0 | entropy: 0.3410 | grad norm: 1.235 
global steps 96000 | score: 10.0 | entropy: 0.3359 | grad norm: 1.235 
global steps 96000 | score: 8.0 | entropy: 0.3377 | grad norm: 1.235 
